number of people displaced,specific_group,From,To,"specific group, From, To",Source (Extracted from text),text,document title,primary_country,date_posted,format,url
62000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM - September 2022  ,"SITUATION AT A GLANCE 6,374
Civilian Deaths Resulting From the ConflictOHCHR – October 2022 7.7 MILLION
Refugees From Ukraine Recorded Across EuropeUNHCR – October 2022 6.2 MILLION
People Internally Displaced Across UkraineIOM – September 2022 17.7 MILLION
People in Need of Humanitarian Assistance in UkraineUN – August 2022 13.5 MILLION
People Reached With Humanitarian Assistance in UkraineOCHA – October 2022 GoRF attacks on critical civilian infrastructure since October 10 have resulted in widespread utility outages across Ukraine, potentially exacerbating humanitarian needs ahead of the winter season.","Ukraine - Complex Emergency Fact Sheet #1, Fiscal Year (FY) 2023",['Ukraine'],2022-10-29,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-1-fiscal-year-fy-2023
177000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM - September 2022  ,"SITUATION AT A GLANCE 6,374
Civilian Deaths Resulting From the ConflictOHCHR – October 2022 7.7 MILLION
Refugees From Ukraine Recorded Across EuropeUNHCR – October 2022 6.2 MILLION
People Internally Displaced Across UkraineIOM – September 2022 17.7 MILLION
People in Need of Humanitarian Assistance in UkraineUN – August 2022 13.5 MILLION
People Reached With Humanitarian Assistance in UkraineOCHA – October 2022 GoRF attacks on critical civilian infrastructure since October 10 have resulted in widespread utility outages across Ukraine, potentially exacerbating humanitarian needs ahead of the winter season.","Ukraine - Complex Emergency Fact Sheet #1, Fiscal Year (FY) 2023",['Ukraine'],2022-10-29,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-1-fiscal-year-fy-2023
135000000,people in need,not specified,not specified,people in need, UN - August 2022      ,"SITUATION AT A GLANCE 6,374
Civilian Deaths Resulting From the ConflictOHCHR – October 2022 7.7 MILLION
Refugees From Ukraine Recorded Across EuropeUNHCR – October 2022 6.2 MILLION
People Internally Displaced Across UkraineIOM – September 2022 17.7 MILLION
People in Need of Humanitarian Assistance in UkraineUN – August 2022 13.5 MILLION
People Reached With Humanitarian Assistance in UkraineOCHA – October 2022 GoRF attacks on critical civilian infrastructure since October 10 have resulted in widespread utility outages across Ukraine, potentially exacerbating humanitarian needs ahead of the winter season.","Ukraine - Complex Emergency Fact Sheet #1, Fiscal Year (FY) 2023",['Ukraine'],2022-10-29,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-1-fiscal-year-fy-2023
65000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM (International Organization for Migration) ,"As of 27 October, IOM estimates 6.5 million people are internally displaced across Ukraine.","Ukraine Emergency: UNHCR Operational Response, Delivery Updates (9 November 2022) [EN/UK]",['Ukraine'],2022-11-11,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-emergency-unhcr-operational-response-delivery-updates-9-november-2022-enuk
62000000,total population,not specified,not specified,total population, - ,This represents a slight increase compared to 6.2 million at the end of September.,"Ukraine Emergency: UNHCR Operational Response, Delivery Updates (9 November 2022) [EN/UK]",['Ukraine'],2022-11-11,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-emergency-unhcr-operational-response-delivery-updates-9-november-2022-enuk
63000000,total population,not specified,not specified,total population, End of September ,This represents a slight increase compared to 6.2 million at the end of September.,"Ukraine Emergency: UNHCR Operational Response, Delivery Updates (9 November 2022) [EN/UK]",['Ukraine'],2022-11-11,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-emergency-unhcr-operational-response-delivery-updates-9-november-2022-enuk
76000000,refugees,not specified,europe,refugees to europe, Text,"As of today, over 7.6 million refugees from Ukraine are recorded across Europe.",Ukraine Situation Flash Update #32 (7 October 2022),['Ukraine'],2022-10-07,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-32-7-october-2022
732000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM report            ,"The estimated number of internally displaced persons (IDPs) in Ukraine decreased by an estimated 732,000 people
between end August and end September, from 6.975 million to 6.243 million, according to the latest Internal
Displacement Report by IOM.",Ukraine Situation Flash Update #32 (7 October 2022),['Ukraine'],2022-10-07,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-32-7-october-2022
6975000000,internally displaced people (idps),not specified,,internally displaced people (idps), IOM report            ,"The estimated number of internally displaced persons (IDPs) in Ukraine decreased by an estimated 732,000 people
between end August and end September, from 6.975 million to 6.243 million, according to the latest Internal
Displacement Report by IOM.",Ukraine Situation Flash Update #32 (7 October 2022),['Ukraine'],2022-10-07,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-32-7-october-2022
6243000000,internally displaced people (idps),not specified,,internally displaced people (idps), IOM report            ,"The estimated number of internally displaced persons (IDPs) in Ukraine decreased by an estimated 732,000 people
between end August and end September, from 6.975 million to 6.243 million, according to the latest Internal
Displacement Report by IOM.",Ukraine Situation Flash Update #32 (7 October 2022),['Ukraine'],2022-10-07,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-32-7-october-2022
6975000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM Internal Displacement Report (released on 2 October) ,"The Internal Displacement Report released by IOM on 2 October reported that the total number of internally displaced people (IDPs) in Ukraine decreased from 6,975,000 million to 6,243,000 million, or 732,000 since 23 August.","IOM Regional Ukraine Response Situation Report, 27 October 2022",['Ukraine'],2022-10-27,['Situation Report'],https://reliefweb.int/report/ukraine/iom-regional-ukraine-response-situation-report-27-october-2022
6243000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM Internal Displacement Report (released on 2 October) ,"The Internal Displacement Report released by IOM on 2 October reported that the total number of internally displaced people (IDPs) in Ukraine decreased from 6,975,000 million to 6,243,000 million, or 732,000 since 23 August.","IOM Regional Ukraine Response Situation Report, 27 October 2022",['Ukraine'],2022-10-27,['Situation Report'],https://reliefweb.int/report/ukraine/iom-regional-ukraine-response-situation-report-27-october-2022
732000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM Internal Displacement Report (released on 2 October) ,"The Internal Displacement Report released by IOM on 2 October reported that the total number of internally displaced people (IDPs) in Ukraine decreased from 6,975,000 million to 6,243,000 million, or 732,000 since 23 August.","IOM Regional Ukraine Response Situation Report, 27 October 2022",['Ukraine'],2022-10-27,['Situation Report'],https://reliefweb.int/report/ukraine/iom-regional-ukraine-response-situation-report-27-october-2022
7278696,refugees,not specified,europe,refugees to europe, - ,"KEY FIGURES 7,278,696 refugees from Ukraine recorded across Europe 4,040,108 refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 6,975,000 estimated number of IDPs in Ukraine BACKGROUND Since the beginning of hostilities, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #30 (16 September 2022),['Ukraine'],2022-09-16,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-30-16-september-2022
4040108,refugees,not specified,europe,refugees to europe, Registered for Temporary Protection or similar national protection schemes in Europe ,"KEY FIGURES 7,278,696 refugees from Ukraine recorded across Europe 4,040,108 refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 6,975,000 estimated number of IDPs in Ukraine BACKGROUND Since the beginning of hostilities, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #30 (16 September 2022),['Ukraine'],2022-09-16,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-30-16-september-2022
7000000,displaced people,not specified,not specified,displaced people, N/A ,"Within Ukraine, nearly 7 million people remain displaced by the war.",Ukraine Situation Flash Update #30 (16 September 2022),['Ukraine'],2022-09-16,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-30-16-september-2022
127000000,"idps, refugees, migrants",not specified,not specified,"idps, refugees, migrants", Not specified ,"More than 12.7 million movements out of Ukraine have been recorded since 24 February, with over 5.7 million movements back into the country",Ukraine Situation Flash Update #30 (16 September 2022),['Ukraine'],2022-09-16,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-30-16-september-2022
57000000,"idps, refugees, migrants",not specified,not specified,"idps, refugees, migrants", Not specified ,"More than 12.7 million movements out of Ukraine have been recorded since 24 February, with over 5.7 million movements back into the country",Ukraine Situation Flash Update #30 (16 September 2022),['Ukraine'],2022-09-16,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-30-16-september-2022
7154448,refugees,not specified,europe,refugees to europe," Internal Displacement Report, Operational Data Portal Ukraine Refugee Situation ","KEY FIGURES 7,154,448 refugees from Ukraine recorded across Europe 4,005,806 refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 6,975,000: estimated number of IDPs in UkraineSource: Internal Displacement Report More details: Operational Data Portal Ukraine Refugee Situation BACKGROUND Since the beginning of hostilities, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #29 (9 September 2022),['Ukraine'],2022-09-09,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-29-9-september-2022
