Number of Buildings Mentioned,What Happened,Type of Building,housing sector losses reported,text,primary_country,date_posted,format,url,NER_extracted_geolocation
---------------------,----------------------------------------,---------------------,--------------------------------------,"HIGHLIGHTS While the number of collective shelters has reduced since the earthquakes struck, there are still an estimated 205 collective shelters housing people affected by the earthquakes across Syria.",Syria,2023-04-13 12:20:12+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-no-7-12-april-2023,Syria
      205                 , Some buildings damaged or destroyed , Not specified        , Not specified                                  ,"HIGHLIGHTS While the number of collective shelters has reduced since the earthquakes struck, there are still an estimated 205 collective shelters housing people affected by the earthquakes across Syria.",Syria,2023-04-13 12:20:12+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-no-7-12-april-2023,Syria
------------------------------,--------------------------------,------------------,-------------------------------,"Heavy rain had previously flooded at least 50 displacement sites and destroyed or damaged more than 3,000 tents.",Syria,2023-04-13 12:20:12+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-no-7-12-april-2023,
              50              ,          Damaged/Destroyed      ,     Tents        ,"            3,000              ","Heavy rain had previously flooded at least 50 displacement sites and destroyed or damaged more than 3,000 tents.",Syria,2023-04-13 12:20:12+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-no-7-12-april-2023,
 --- , --- , --- , --- ,"No deaths and injuries were reported, 587 tents and rooms were destroyed, and 1,646 tents and rooms have also been damaged.",Syria,2023-04-12 15:49:07+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/flooding-incident-report-21-march-2023,
 587 , Destroyed , Household , Unknown ,"No deaths and injuries were reported, 587 tents and rooms were destroyed, and 1,646 tents and rooms have also been damaged.",Syria,2023-04-12 15:49:07+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/flooding-incident-report-21-march-2023,
" 1,646 ", Damaged , Residence , Unknown ,"No deaths and injuries were reported, 587 tents and rooms were destroyed, and 1,646 tents and rooms have also been damaged.",Syria,2023-04-12 15:49:07+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/flooding-incident-report-21-march-2023,
 ------------------ , ------ , ----------------, ------------------------------,"The number of IDPs residing in the affected sites is 83,440; most of them lost their shelter during the earthquake.",Syria,2023-04-12 15:49:07+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/flooding-incident-report-21-march-2023,
 0                  , -      , -               ," 83,440                         ","The number of IDPs residing in the affected sites is 83,440; most of them lost their shelter during the earthquake.",Syria,2023-04-12 15:49:07+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/flooding-incident-report-21-march-2023,
---------------------,-----------------------,------------------,--------------------------------,"More than 298,000 buildings have been severely damaged or destroyed,4 forcing some 3 million people 5 to relocate, but where people are living is a significant factor in their needs and the type of response they have received.",Türkiye,2023-04-11 11:09:53+00:00,Analysis,https://reliefweb.int/report/turkiye/turkiye-humanitarian-needs-and-response-overview-interim-update-published-11-april-2023-entk,
"      298,000        ",       Damaged/Destroyed   ,    Household/Residence   ,               Not reported             ,"More than 298,000 buildings have been severely damaged or destroyed,4 forcing some 3 million people 5 to relocate, but where people are living is a significant factor in their needs and the type of response they have received.",Türkiye,2023-04-11 11:09:53+00:00,Analysis,https://reliefweb.int/report/turkiye/turkiye-humanitarian-needs-and-response-overview-interim-update-published-11-april-2023-entk,
"        3,000,000    ",   Relocated                 ,   Not reported          ,                Not reported             ,"More than 298,000 buildings have been severely damaged or destroyed,4 forcing some 3 million people 5 to relocate, but where people are living is a significant factor in their needs and the type of response they have received.",Türkiye,2023-04-11 11:09:53+00:00,Analysis,https://reliefweb.int/report/turkiye/turkiye-humanitarian-needs-and-response-overview-interim-update-published-11-april-2023-entk,
 --- , --- , --- , --- ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 are living in container cities.",Türkiye,2023-04-11 23:20:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-7-earthquake-3-april-2023,
 2.6 million , Damaged , Household , Not reported ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 are living in container cities.",Türkiye,2023-04-11 23:20:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-7-earthquake-3-april-2023,
" 79,000 ", Not applicable (containers) , Residence , Not reported ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 are living in container cities.",Türkiye,2023-04-11 23:20:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-7-earthquake-3-april-2023,
---------------------,---------------------,---------------,--------------------------------,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 people are living in container cities (formal settlements).",Türkiye,2023-04-11 23:20:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-7-earthquake-3-april-2023,
        0            ,       N/A           ,    N/A        ,            2.6 million        ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 people are living in container cities (formal settlements).",Türkiye,2023-04-11 23:20:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-7-earthquake-3-april-2023,
"       79,000        ",       N/A           ,    N/A        ,            N/A               ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 people are living in container cities (formal settlements).",Türkiye,2023-04-11 23:20:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-7-earthquake-3-april-2023,
---------------------,----------------,-------------------,--------------------------------,"With at least 10,600 buildings and 452 schools destroyed by the earthquakes at varying degrees, rubble removal projects have begun in earnest to help rebuild homes and infrastructure destroyed or damaged by the earthquake.",Syria,2023-04-07 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-16-earthquake-nw-syria-7-april-2023,
" 10,600              ", Destroyed      , Household        , Not specified                  ,"With at least 10,600 buildings and 452 schools destroyed by the earthquakes at varying degrees, rubble removal projects have begun in earnest to help rebuild homes and infrastructure destroyed or damaged by the earthquake.",Syria,2023-04-07 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-16-earthquake-nw-syria-7-april-2023,
 452                 , Destroyed      , School            , Not specified                  ,"With at least 10,600 buildings and 452 schools destroyed by the earthquakes at varying degrees, rubble removal projects have begun in earnest to help rebuild homes and infrastructure destroyed or damaged by the earthquake.",Syria,2023-04-07 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-16-earthquake-nw-syria-7-april-2023,
---------------------------,------------------------------------------,-------------------,--------------------------------,"On 5 April, Türkiye’s Ministry of Interior announced that they have established 345 tent cities and 305 container cities in the earthquake-affected region, adding that 2.6 million people are living in tent cities, while nearly 79 thousand people are living in container cities.",Türkiye,2023-04-06 20:56:16+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-13-6-april-2023-entr,
